Region,Year,EA,EAPop,EAPop%
Middle East-North Africa,2010,Bachelor's Degree,311251,26.4
Sub-Saharan Africa,2010,Bachelor's Degree,232313,22.6
All foreign born,2010,Advanced Degree,3740445,11.1
Mexico,2010,Advanced Degree,133592,1.4
East and Southeast Asia,2010,Advanced Degree,1008127,15.5
Central Asia,2010,Advanced Degree,12141,19.3
South Asia,2010,Advanced Degree,741065,36.1
Oceania,2010,Advanced Degree,20908,15.9
Europe,2010,Advanced Degree,784783,18
Canada and Other North America,2010,Advanced Degree,128482,18.5
Caribbean,2010,Advanced Degree,209956,6.5
Central America,2010,Advanced Degree,65790,2.6
South America,2010,Advanced Degree,233552,10.1
Middle East-North Africa,2010,Advanced Degree,242070,20.5
Sub-Saharan Africa,2010,Advanced Degree,157482,15.3
All foreign born,2018,Less than High School Graduate,10565854,26.9
Mexico,2018,Less than High School Graduate,5376496,53.5
East and Southeast Asia,2018,Less than High School Graduate,1233513,16.2
Central Asia,2018,Less than High School Graduate,5102,5
South Asia,2018,Less than High School Graduate,308494,9.7
Oceania,2018,Less than High School Graduate,26720,12.8
Europe,2018,Less than High School Graduate,488729,11.1
Canada and Other North America,2018,Less than High School Graduate,52610,7.1
Caribbean,2018,Less than High School Graduate,882438,22.5
Central America,2018,Less than High School Graduate,1399431,46.5
South America,2018,Less than High School Graduate,403569,13.9
Middle East-North Africa,2018,Less than High School Graduate,185300,12.2
Sub-Saharan Africa,2018,Less than High School Graduate,201194,12.5
All foreign born,2018,High School Graduate,8751588,22.3
Mexico,2018,High School Graduate,2619905,26.1
East and Southeast Asia,2018,High School Graduate,1341724,17.6
Central Asia,2018,High School Graduate,16565,16.3
South Asia,2018,High School Graduate,287480,9.1
Oceania,2018,High School Graduate,51353,24.5
Europe,2018,High School Graduate,957705,21.7
Canada and Other North America,2018,High School Graduate,124331,16.7
Caribbean,2018,High School Graduate,1173233,29.9
Central America,2018,High School Graduate,780777,26
South America,2018,High School Graduate,773149,26.7
Middle East-North Africa,2018,High School Graduate,285768,18.8
Sub-Saharan Africa,2018,High School Graduate,330351,20.5
All foreign born,2018,Two Year Degree/Some College,7386926,18.8
Mexico,2018,Two Year Degree/Some College,1327496,13.2
East and Southeast Asia,2018,Two Year Degree/Some College,1507372,19.8
Central Asia,2018,Two Year Degree/Some College,22521,22.1
South Asia,2018,Two Year Degree/Some College,320697,10.1
Oceania,2018,Two Year Degree/Some College,53714,25.7
Europe,2018,Two Year Degree/Some College,1003116,22.7
Canada and Other North America,2018,Two Year Degree/Some College,196924,26.4
Caribbean,2018,Two Year Degree/Some College,987259,25.2
Central America,2018,Two Year Degree/Some College,503784,16.8
South America,2018,Two Year Degree/Some College,729619,25.2
Middle East-North Africa,2018,Two Year Degree/Some College,289606,19
Sub-Saharan Africa,2018,Two Year Degree/Some College,432143,26.8
All foreign born,2018,Bachelor's Degree,7110408,18.1
Mexico,2018,Bachelor's Degree,524225,5.2
East and Southeast Asia,2018,Bachelor's Degree,2117941,27.8
Central Asia,2018,Bachelor's Degree,32253,31.7
South Asia,2018,Bachelor's Degree,1003877,31.7
Oceania,2018,Bachelor's Degree,48792,23.3
Europe,2018,Bachelor's Degree,967403,21.9
Canada and Other North America,2018,Bachelor's Degree,207485,27.8
Caribbean,2018,Bachelor's Degree,562591,14.4
Central America,2018,Bachelor's Degree,234528,7.8
South America,2018,Bachelor's Degree,610168,21.1
Middle East-North Africa,2018,Bachelor's Degree,418472,27.5
Sub-Saharan Africa,2018,Bachelor's Degree,378827,23.3
All foreign born,2018,Advanced Degree,5463792,13.9
Mexico,2018,Advanced Degree,194147,1.9
East and Southeast Asia,2018,Advanced Degree,1414465,18.6
Central Asia,2018,Advanced Degree,25411,24.9
South Asia,2018,Advanced Degree,1245365,39.3
Oceania,2018,Advanced Degree,28727,13.7
Europe,2018,Advanced Degree,994478,22.5
Canada and Other North America,2018,Advanced Degree,163790,22
Caribbean,2018,Advanced Degree,314062,8
Central America,2018,Advanced Degree,89029,3
South America,2018,Advanced Degree,377705,13.1
Middle East-North Africa,2018,Advanced Degree,342688,22.5
Sub-Saharan Africa,2018,Advanced Degree,272735,16.9
